"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Algeria","DZA","Land area (sq. km)","AG.LND.TOTL.K2","","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381741","2381741","2381741","2381741","2381741","2381741",
"East Asia & Pacific (excluding high income)","EAP","Land area (sq. km)","AG.LND.TOTL.K2","","15965060","15965060","15965060","15965060","15965060","15965060","15965060","15965060","15965060","15965060","15965060","15965060","15965030","15964990","15964960","15964960","15964950","15964950","15964950","15964950","15964950","15964940","15964940","15964940","15964940","15964940","15964940","15964940","15964940","15964940","15965820","15965820","15965820","15965820","15965870","15965860","15965860","15965860","15965860","15951420","15951450.2","15950910.2","15950429.7","15950310.5","15950249.8","15950360","15950410","15950200","15950190.5","15950150.7","15950180.9","15950040.9","15949971.3","15949971.3","15953666.8","16019614.9","16019325.2","16019326.9","16019326.9","16019326.9",
"Early-demographic dividend","EAR","Land area (sq. km)","AG.LND.TOTL.K2","","33246133","33246133","33246133","33246133","33246133","33246133","33246133","33246133","33246133","33246133","33246133","33246133","33246103","33246063","33246043","33245913","33245913","33245913","33245913","33245913","33245913","33245913","33245913","33245913","33245913","33245913","33245913","33245913","33245913","33245913","33246613","33246633","33145633","33138710","33138710","33138710","33138710","33110230","33110230","33110580","33110580","33110580","33110400","33237851.328","33237854.777","33238021.344","33238064.296","33237849.056","33238377.983","33238312.379","33238302.088","33238166.376","33238099.38","33236719.045","33251969.914","33317975.039","33317660.999","33317702.39","33317702.39","33317702.39",
"East Asia & Pacific","EAS","Land area (sq. km)","AG.LND.TOTL.K2","","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438620","24438590","24438550","24438410","24438410","24438290","24438290","24438290","24438190","24438290","24438070","24438070","24436570","24436470","24436570","24436470","24436470","24436470","24436470","24438270","24438270","24438270","24438270","24438380","24438270","24438270","24438270","24438270","24423830","24424146.2","24423662.2","24423203.7","24423107.5","24423076.8","24423222.6","24423314.2","24423179.2","24423240","24423342.4","24423364.8","24423346.8","24423394.6","24423400.6","24427111.2","24502823.4","24502555","24502428.8","24502428.8","24502428.8",
"Europe & Central Asia (excluding high income)","ECA","Land area (sq. km)","AG.LND.TOTL.K2","","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22639404","22638414","22638414","22638524","22638524","22634834","22630024","22627044","22626654","22627344","22629919","22636742","22629562","22628661","22627485","22627599","22627899","22627977","22624344","22623996","22623124","22623139","22623203","22623335","22623195","22623224","22622139","22637339","22637353","22637366","22626524.3","22626524.3","22626524.3",
"Europe & Central Asia","ECS","Land area (sq. km)","AG.LND.TOTL.K2","","27391514.027","27391494.027","27391504.027","27391504.027","27391494.027","27391484.027","27391474.027","27391464.027","27391464.027","27391454.027","27391444.027","27391444.027","27391444.027","27391414.027","27391294.027","27391214.027","27391194.027","27391194.027","27391164.027","27391084.027","27391064.027","27391054.027","27391014.027","27391025.027","27391025.027","27391025.027","27391035.027","27391025.027","27390035.027","27390035.027","27390145.027","27390185.027","27386475.027","27381655.027","27378665.027","27378334.027","27447673.027","27450147.027","27456929.027","27448989.027","27447557.027","27446860.027","27447383.027","27447432.027","27447358.027","27443074.027","27442783.027","27441352.227","27442170.827","27443589.227","27443457.027","27438149.727","27439425.187","27439564.627","27454239.957","27454601.387","27454570.067","27447886.686","27447886.686","27447886.686",
"Ecuador","ECU","Land area (sq. km)","AG.LND.TOTL.K2","","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360",
"Egypt, Arab Rep.","EGY","Land area (sq. km)","AG.LND.TOTL.K2","","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450",
"Euro area","EMU","Land area (sq. km)","AG.LND.TOTL.K2","","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678662","2678542","2678482","2678452","2678442","2678452","2678382","2678372","2678372","2678342","2678352","2678352","2678352","2678352","2678352","2678352","2678352","2678352","2678352","2678342","2678332","2678322","2678312","2678272","2678242","2678202","2677623","2677093","2677573","2678033","2677653","2677513","2676883","2676941","2676402.2","2676305.8","2677670.2","2677456","2677738.7","2679126.2","2679055.6","2678458.2","2678840.6","2678829.05","2682452.479","2682452.479","2682452.479",
"Eritrea","ERI","Land area (sq. km)","AG.LND.TOTL.K2","","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000",
"Spain","ESP","Land area (sq. km)","AG.LND.TOTL.K2","","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499750","499630","499570","499540","499530","499540","499470","499460","499460","499430","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499000","498520","499040","499210","499180","499090","498980","499110","498800","498660","500010","499880","500210","500210","500210","499661","499564","499547.35","499603.479","499603.479","499603.479",
"Estonia","EST","Land area (sq. km)","AG.LND.TOTL.K2","","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","43470","43470","43470","43470","43470","43470","43470","43470",
"Ethiopia","ETH","Land area (sq. km)","AG.LND.TOTL.K2","","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1129264.328","1129317.777","1129314.344","1129287.296","1129272.056","1129270.983","1129253.379","1129208.088","1129209.376","1129212.38","1129225.045","1129272.914","1129304.039","1129279.999","1129300.39","1129300.39","1129300.39",
"European Union","EUU","Land area (sq. km)","AG.LND.TOTL.K2","","4001882","4001862","4001872","4001872","4001862","4001852","4001842","4001832","4001832","4001822","4001812","4001812","4001812","4001782","4001662","4001582","4001562","4001562","4001532","4001452","4001432","4001422","4001382","4001392","4001392","4001392","4001402","4001392","4000402","4000402","4000512","4000552","4000532","4000572","4000542","4000632","4000542","4000502","4000472","3999823","3999293","3998103","3998563","3998353","3998063","3997403","3997351","3996802.2","3997715.8","3999060.2","3998916","3993598.7","3994976.2","3996265.6","3995658.2","3996050.6","3996029.05","3999622.479","3999622.479","3999622.479",
"Fragile and conflict affected situations","FCS","Land area (sq. km)","AG.LND.TOTL.K2","","19935138.271","19935138.271","19935138.271","19935138.271","19935138.271","19935138.271","19935138.271","19935138.271","19935138.271","19935138.271","19935138.271","19935138.271","19935138.271","19934738.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19934338.271","19935218.271","19935218.271","19834218.271","19834218.271","19834218.271","19834218.271","19834218.271","19834093.271","19833706.271","19833606.271","19833605.271","19833619.271","19833463.271","19962607.599","19962589.048","19962732.615","19962757.567","19962530.327","19959464.254","19959430.65","19959417.359","19959278.97","19959018.332","19958990.678","19959040.338","19958955.342","19958631.032","19947735.228","19947735.228","19947735.228",
"Finland","FIN","Land area (sq. km)","AG.LND.TOTL.K2","","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304110","304090","303900","303900","303900","303890","303890","303890","303890","303910","303910","303920","303920","303920","303920",
"Fiji","FJI","Land area (sq. km)","AG.LND.TOTL.K2","","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270",
"France","FRA","Land area (sq. km)","AG.LND.TOTL.K2","","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547567","547567","547567","547867","547567","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557",
"Faroe Islands","FRO","Land area (sq. km)","AG.LND.TOTL.K2","","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396",
"Micronesia, Fed. Sts.","FSM","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700",
"Gabon","GAB","Land area (sq. km)","AG.LND.TOTL.K2","","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670",
"United Kingdom","GBR","Land area (sq. km)","AG.LND.TOTL.K2","","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930",
"Georgia","GEO","Land area (sq. km)","AG.LND.TOTL.K2","","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490",
"Ghana","GHA","Land area (sq. km)","AG.LND.TOTL.K2","","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540",
"Gibraltar","GIB","Land area (sq. km)","AG.LND.TOTL.K2","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",
"Guinea","GIN","Land area (sq. km)","AG.LND.TOTL.K2","","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720",
"Gambia, The","GMB","Land area (sq. km)","AG.LND.TOTL.K2","","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120",
"Guinea-Bissau","GNB","Land area (sq. km)","AG.LND.TOTL.K2","","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120",
"Equatorial Guinea","GNQ","Land area (sq. km)","AG.LND.TOTL.K2","","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050",
"Greece","GRC","Land area (sq. km)","AG.LND.TOTL.K2","","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900",
"Grenada","GRD","Land area (sq. km)","AG.LND.TOTL.K2","","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340",
"Greenland","GRL","Land area (sq. km)","AG.LND.TOTL.K2","","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450",
"Guatemala","GTM","Land area (sq. km)","AG.LND.TOTL.K2","","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160",
"Guam","GUM","Land area (sq. km)","AG.LND.TOTL.K2","","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540",
"Guyana","GUY","Land area (sq. km)","AG.LND.TOTL.K2","","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850",
"High income","HIC","Land area (sq. km)","AG.LND.TOTL.K2","","34879308.427","34879288.427","34879298.427","34879298.427","34879288.427","34879278.427","34879268.427","34879258.427","34879258.427","34879248.427","34879238.427","34879138.427","34879138.427","34879108.427","34878878.427","34878798.427","34878668.427","34878668.427","34878638.427","34878368.427","34878448.427","34878228.427","34878188.427","34876699.427","34876599.427","34876699.427","34876609.427","34876599.427","34876599.427","34876599.427","34877519.427","34877579.427","34877559.427","34877549.427","34877599.427","34877558.427","34946207.427","34946106.427","34946065.427","34948265.427","34948020.427","34948555.427","34948996.427","34948778.427","34948666.427","34948051.027","34948159.627","34933185.827","34934059.727","34935558.327","34935286.927","34930244.627","34931608.487","34932719.927","34932217.357","34942329.887","34942307.867","34946338.286","34946338.286","34946338.286",
"Hong Kong SAR, China","HKG","Land area (sq. km)","AG.LND.TOTL.K2","","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1010","1010","1000","1000","1000","1000","1000","990","990","990","990","990","990","990","990","990","990","990","990","990","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050",
"Honduras","HND","Land area (sq. km)","AG.LND.TOTL.K2","","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890",
"Heavily indebted poor countries (HIPC)","HPC","Land area (sq. km)","AG.LND.TOTL.K2","","19960834.271","19960834.271","19960834.271","19960834.271","19960834.271","19960834.271","19960834.271","19960834.271","19960834.271","19960834.271","19960834.271","19960834.271","19960834.271","19960434.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19960174.271","19859174.271","19859174.271","19859174.271","19859174.271","19859174.271","19859174.271","19859174.271","19859174.271","19859174.271","19859174.271","19859174.271","19988438.599","19988492.048","19988488.615","19988461.567","19988446.327","19988445.254","19989137.65","19357368.949","19357375.266","19357381.577","19357365.461","19357415.12","19357335.24","19357309.952","19357325.105","19357325.105","19357325.105",
"Croatia","HRV","Land area (sq. km)","AG.LND.TOTL.K2","","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55980","55980","55910","55910","55910","55910","55910","55910","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960","56590","56590","56590","56590","56590","56590","56590",
"Haiti","HTI","Land area (sq. km)","AG.LND.TOTL.K2","","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560",
"Hungary","HUN","Land area (sq. km)","AG.LND.TOTL.K2","","90040","90020","90030","90030","90020","90010","90000","89990","89990","89980","89970","89970","89970","89970","89970","89950","89960","89970","89920","89910","89900","89890","89880","89880","89880","89880","89880","89870","89870","89870","89870","89870","89860","89860","89860","89860","89800","89800","89800","89620","89620","89620","89620","89620","89610","89610","89610","89610","90530","90530","90530","90530","90530","91260","91260","91260","91260","91260","91260","91260",
"IBRD only","IBD","Land area (sq. km)","AG.LND.TOTL.K2","","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064279","71064239","71064209","71064079","71064069","71064069","71064069","71063979","71063979","71063969","71063969","71063969","71063969","71063969","71063969","71063969","71062979","71062979","71063549","71063549","71059859","71055049","71052119","71051789","71052479","71026504","71033327","71011707","71010836.2","71009120.2","71008703.7","71009144.5","71009221.8","71005579","71005231","71004339","71001824.5","71001888.7","71001970.9","71001820.9","71001648.3","71002127.3","71005011.8","71070976.9","71070991.2","71071078.2","71071078.2","71071078.2",
"IDA & IBRD total","IBT","Land area (sq. km)","AG.LND.TOTL.K2","","96030603.271","96030603.271","96030603.271","96030603.271","96030603.271","96030603.271","96030603.271","96030603.271","96030603.271","96030603.271","96030603.271","96030603.271","96030533.271","96030093.271","96029803.271","96029673.271","96029663.271","96029663.271","96029663.271","96029573.271","96029573.271","96029563.271","96029563.271","96029563.271","96029563.271","96029563.271","96029563.271","96029563.271","96028573.271","96028573.271","96030023.271","96030023.271","95925333.271","95913600.271","95910670.271","95910340.271","95911030.271","95885055.271","95891878.271","95870608.271","95869737.471","95868021.471","95867414.971","95995297.099","95995367.848","95991891.615","95991576.567","95990459.327","95987933.754","95988640.35","95988962.259","95988673.87","95988436.632","95987709.978","96005839.138","96071736.242","96071433.232","96060596.428","96060596.428","96060596.428",
"IDA total","IDA","Land area (sq. km)","AG.LND.TOTL.K2","","24966254.271","24966254.271","24966254.271","24966254.271","24966254.271","24966254.271","24966254.271","24966254.271","24966254.271","24966254.271","24966254.271","24966254.271","24966254.271","24965854.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24965594.271","24966474.271","24966474.271","24865474.271","24858551.271","24858551.271","24858551.271","24858551.271","24858551.271","24858551.271","24858901.271","24858901.271","24858901.271","24858711.271","24986152.599","24986146.048","24986312.615","24986345.567","24986120.327","24986109.254","24986751.65","24986991.359","24986852.97","24986788.332","24985582.678","25000827.338","25000759.342","25000442.032","24989518.228","24989518.228","24989518.228",
"IDA blend","IDB","Land area (sq. km)","AG.LND.TOTL.K2","","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4384561","4384558","4384557","4384525","4384525","4384525",
"Indonesia","IDN","Land area (sq. km)","AG.LND.TOTL.K2","","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1877519","1877519","1877519","1877519","1877519",
"IDA only","IDX","Land area (sq. km)","AG.LND.TOTL.K2","","20596884.271","20596884.271","20596884.271","20596884.271","20596884.271","20596884.271","20596884.271","20596884.271","20596884.271","20596884.271","20596884.271","20596884.271","20596884.271","20596484.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20596224.271","20597104.271","20597104.271","20496104.271","20489181.271","20489181.271","20489181.271","20489181.271","20489181.271","20489181.271","20489531.271","20489531.271","20489531.271","20489341.271","20616782.599","20616776.048","20616942.615","20616975.567","20616750.327","20616739.254","20617381.65","20617621.359","20617482.97","20617418.332","20616212.678","20616266.338","20616201.342","20615885.032","20604993.228","20604993.228","20604993.228",
"Isle of Man","IMN","Land area (sq. km)","AG.LND.TOTL.K2","","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570",
"India","IND","Land area (sq. km)","AG.LND.TOTL.K2","","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190",
"Not classified","INX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Land area (sq. km)","AG.LND.TOTL.K2","","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890",
"Iran, Islamic Rep.","IRN","Land area (sq. km)","AG.LND.TOTL.K2","","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760",
"Iraq","IRQ","Land area (sq. km)","AG.LND.TOTL.K2","","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","434320","434320","434320","434320","434128","434128","434128","434128","434128","434128","434128","434128",
